id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1,"„Избор на доставчик на нетна активна електрическа енергия и координатор на балансираща група за обекти, предоставени за управление на Агенция за социално подпомагане за нуждите на ДСП на територията на област София-град“",РЕГИОНАЛНА ДИРЕКЦИЯ ЗА СОЦИАЛНО ПОДПОМАГАНЕ - СОФИЯ-ГРАД,00496-2024-0061,Открита процедура,2025-01-13,2024-12-11,https://app.eop.bg/today/428558
2,Доставка на специализирана техника - тежкотоварен автомобил за почистване,ОБЩИНА КАРЛОВО,00072-2024-0036,Открита процедура,2025-01-09,2024-12-11,https://app.eop.bg/today/428539
3,Диагностика на железния път с пътеизмерителна лаборатория за срок от три години,"НАЦИОНАЛНА КОМПАНИЯ ""ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА"" ДП",00233-2024-0101,Открита процедура,2025-01-23,2024-12-11,https://app.eop.bg/today/424387
4,"ДОСТАВКА И МОНТАЖ НА МЕБЕЛИ ЗА ИЗГРАЖДАНЕ НА УЧИЛИЩНА STEM СРЕДА“ В ТРЕТО ОУ „ПЕТКО РАЧОВ СЛАВЕЙКОВ“, ГР. ТЪРГОВИЩЕ, по обособени позиции:","ТРЕТО ОСНОВНО УЧИЛИЩЕ ""П.Р.СЛАВЕЙКОВ""",03125-2024-0005,Събиране на оферти с обява,2024-12-23,2024-12-11,https://app.eop.bg/today/448821
5,„Доставка на един брой употребяван автобус за нуждите на Община Перущица“,ОБЩИНА ПЕРУЩИЦА,00448-2024-0018,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/448703
6,Доставка на трактор за нуждите на Община Медковец,ОБЩИНА МЕДКОВЕЦ,00946-2024-0008,Събиране на оферти с обява,2024-12-27,2024-12-10,https://app.eop.bg/today/448751
7,"Ремонт на улици в с.Трескавец, Община Антоново",ОБЩИНА АНТОНОВО,00911-2024-0029,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/449057
8,"Поддържане, съхранение и транспортиране на до 12 837 броя акумулаторни батерии за специализирани устройства за електронно машинно гласуване (СУЕМГ) А-4 Модел 517",ЦЕНТРАЛНА ИЗБИРАТЕЛНА КОМИСИЯ,04312-2024-0013,Публично състезание,2024-12-18,2024-12-10,https://app.eop.bg/today/447917
9,"Ремонт на улици в с.Старчище, Община Антоново",ОБЩИНА АНТОНОВО,00911-2024-0028,Събиране на оферти с обява,2024-12-20,2024-12-10,https://app.eop.bg/today/449040
10,"РЕМОНТ НА СТУДЕНТСКО ОБЩЕЖИТИЕ НА ВУТП, бл. 32",ВИСШЕ УЧИЛИЩЕ ПО ТЕЛЕКОМУНИКАЦИИ И ПОЩИ,01401-2024-0005,Публично състезание,2024-12-30,2024-12-10,https://app.eop.bg/today/445007
